Ticker,rho_1,rho_5,rho_20
AAPL,-0.0605,0.0166,-0.0159
AMGN,-0.079,0.0174,-0.0261
AMZN,-0.0323,0.0042,0.001
AXP,-0.0528,-0.007,0.0077
BA,0.0552,-0.0442,-0.0298
CAT,0.0044,0.0054,-0.0232
CRM,-0.0432,-0.0179,0.0102
CSCO,-0.103,-0.0,-0.0527
CVX,-0.0963,0.044,-0.01
DD,-0.0287,0.0436,0.0194
DIS,-0.063,0.0213,0.0041
DOW,-0.048,0.0438,0.0005
DWDP,0.0003,0.0134,-0.0658
GE,-0.0192,0.0191,-0.0281
HD,-0.0745,-0.0142,-0.0185
HON,-0.0401,0.021,-0.0078
IBM,-0.0403,0.0446,-0.0496
INTC,-0.0839,0.0131,-0.0043
JNJ,-0.0838,0.0204,-0.018
JPM,-0.0956,0.0528,0.0064
KO,-0.031,0.0759,-0.0513
MCD,-0.109,0.0242,-0.031
MMM,-0.0351,0.0137,0.03
MRK,-0.0817,0.0189,-0.0092
MSFT,-0.158,0.0137,-0.0078
NKE,-0.046,0.0366,0.0111
NVDA,-0.0783,0.0051,0.0191
PFE,-0.0451,0.0152,-0.0355
PG,-0.0945,0.0099,-0.0179
RTX,0.0279,0.0229,0.0149
SHW,-0.0877,0.036,0.0303
TRV,-0.16,0.062,-0.0102
UNH,-0.036,0.0211,-0.0304
UTX,-0.0759,0.0709,-0.02
V,-0.1249,-0.0013,-0.0272
VZ,-0.0427,0.0228,-0.0413
WBA,-0.0268,-0.0074,0.0354
WMT,-0.0624,-0.0128,-0.0006
XOM,-0.0244,0.0533,-0.0101
