Ticker,n,mean_bps,vol_bps,skew,kurt,first,last
AAPL,2450,11.385,184.502,0.147,6.852,2016-01-04,2025-09-30
AMGN,2450,4.637,154.921,0.298,6.777,2016-01-04,2025-09-30
AMZN,2450,9.779,206.973,0.169,5.223,2016-01-04,2025-09-30
AXP,2450,8.952,200.724,1.062,20.72,2016-01-04,2025-09-30
BA,2450,5.524,262.2,0.225,15.185,2016-01-04,2025-09-30
CAT,2450,10.757,190.141,-0.141,4.373,2016-01-04,2025-09-30
CRM,2450,6.994,220.747,0.254,14.46,2016-01-04,2025-09-30
CSCO,2450,6.268,158.378,-0.375,11.629,2016-01-04,2025-09-30
CVX,2450,5.677,186.183,-0.309,24.495,2016-01-04,2025-09-30
DD,2012,3.198,202.187,-0.424,10.043,2016-01-04,2025-09-30
DIS,2450,2.273,180.236,0.46,11.448,2016-01-04,2025-09-30
DOW,2054,1.328,217.762,-0.484,15.578,2016-01-04,2025-09-30
DWDP,438,-6.198,170.805,-0.193,3.447,2017-09-01,2019-05-31
GE,2450,5.936,226.059,0.07,5.901,2016-01-04,2025-09-30
HD,2450,6.736,155.262,-0.864,17.551,2016-01-04,2025-09-30
HON,2450,4.981,146.378,0.026,12.631,2016-01-04,2025-09-30
IBM,2450,6.037,155.666,-0.192,10.914,2016-01-04,2025-09-30
INTC,2450,4.028,251.501,0.039,14.73,2016-01-04,2025-09-30
JNJ,2450,4.191,116.214,-0.234,9.749,2016-01-04,2025-09-30
JPM,2450,8.991,174.57,0.343,13.882,2016-01-04,2025-09-30
KO,2450,3.681,114.032,-0.69,9.846,2016-01-04,2025-09-30
MCD,2450,5.654,128.675,0.341,31.583,2016-01-04,2025-09-30
MMM,2450,3.485,164.368,0.792,22.705,2016-01-04,2025-09-30
MRK,2450,4.31,140.868,-0.148,7.646,2016-01-04,2025-09-30
MSFT,2450,11.094,169.622,0.082,7.616,2016-01-04,2025-09-30
NKE,2450,2.915,198.395,-0.045,14.081,2016-01-04,2025-09-30
NVDA,2450,27.21,316.176,0.517,7.954,2016-01-04,2025-09-30
PFE,2450,2.027,149.653,0.286,4.771,2016-01-04,2025-09-30
PG,2450,4.491,118.281,0.165,11.999,2016-01-04,2025-09-30
RTX,1381,12.074,179.251,0.513,9.21,2020-04-03,2025-09-30
SHW,2450,7.431,166.854,-0.33,12.902,2016-01-04,2025-09-30
TRV,2450,5.793,154.604,-1.324,22.978,2016-01-04,2025-09-30
UNH,2450,6.733,183.42,-1.141,21.81,2016-01-04,2025-09-30
UTX,1070,1.26,164.909,-0.883,23.882,2016-01-04,2020-04-02
V,2450,7.527,154.88,0.148,10.289,2016-01-04,2025-09-30
VZ,2450,2.642,124.88,0.058,6.064,2016-01-04,2025-09-30
WBA,2427,-4.132,221.156,0.607,20.088,2016-01-04,2025-08-27
WMT,2450,8.259,135.628,0.366,14.863,2016-01-04,2025-09-30
XOM,2450,4.828,176.872,0.014,6.395,2016-01-04,2025-09-30
