Ticker,first,last,n_days,always_present
AAPL,2016-01-04,2025-09-30,2450,True
AMGN,2016-01-04,2025-09-30,2450,True
AMZN,2016-01-04,2025-09-30,2450,True
AXP,2016-01-04,2025-09-30,2450,True
BA,2016-01-04,2025-09-30,2450,True
CAT,2016-01-04,2025-09-30,2450,True
CRM,2016-01-04,2025-09-30,2450,True
CSCO,2016-01-04,2025-09-30,2450,True
CVX,2016-01-04,2025-09-30,2450,True
DD,2016-01-04,2025-09-30,2012,False
DIS,2016-01-04,2025-09-30,2450,True
DOW,2016-01-04,2025-09-30,2054,False
DWDP,2017-09-01,2019-05-31,438,False
GE,2016-01-04,2025-09-30,2450,True
HD,2016-01-04,2025-09-30,2450,True
HON,2016-01-04,2025-09-30,2450,True
IBM,2016-01-04,2025-09-30,2450,True
INTC,2016-01-04,2025-09-30,2450,True
JNJ,2016-01-04,2025-09-30,2450,True
JPM,2016-01-04,2025-09-30,2450,True
KO,2016-01-04,2025-09-30,2450,True
MCD,2016-01-04,2025-09-30,2450,True
MMM,2016-01-04,2025-09-30,2450,True
MRK,2016-01-04,2025-09-30,2450,True
MSFT,2016-01-04,2025-09-30,2450,True
NKE,2016-01-04,2025-09-30,2450,True
NVDA,2016-01-04,2025-09-30,2450,True
PFE,2016-01-04,2025-09-30,2450,True
PG,2016-01-04,2025-09-30,2450,True
RTX,2020-04-03,2025-09-30,1381,False
SHW,2016-01-04,2025-09-30,2450,True
TRV,2016-01-04,2025-09-30,2450,True
UNH,2016-01-04,2025-09-30,2450,True
UTX,2016-01-04,2020-04-02,1070,False
V,2016-01-04,2025-09-30,2450,True
VZ,2016-01-04,2025-09-30,2450,True
WBA,2016-01-04,2025-08-27,2427,False
WMT,2016-01-04,2025-09-30,2450,True
XOM,2016-01-04,2025-09-30,2450,True
