Ticker,VR_2,VR_5,VR_10,VR_20,VR_60,VR_126
AAPL,0.92,1.0,1.022,0.869,0.618,0.991
AMGN,0.926,0.955,0.858,0.805,0.585,0.588
AMZN,0.972,1.011,0.99,0.839,0.752,0.903
AXP,0.95,1.081,0.908,0.938,0.518,0.422
BA,1.034,1.461,1.448,1.822,0.601,0.576
CAT,1.023,1.168,1.075,0.924,0.934,0.541
CRM,0.946,0.993,0.905,0.78,0.665,0.603
CSCO,0.844,0.935,0.852,0.736,0.589,0.78
CVX,0.933,1.01,1.059,1.323,0.626,0.344
DD,0.997,0.894,1.046,0.954,0.778,1.953
DIS,0.917,0.983,1.007,1.015,0.928,0.829
DOW,1.007,0.967,1.213,1.578,1.807,0.57
DWDP,0.988,1.182,1.231,0.848,,
GE,0.986,1.108,1.142,1.449,1.135,1.633
HD,0.868,0.976,0.982,0.995,0.645,0.685
HON,0.958,1.018,0.991,1.008,0.523,0.665
IBM,0.951,1.063,1.012,1.02,0.578,0.503
INTC,0.914,1.041,0.979,0.7,0.513,0.72
JNJ,0.894,0.9,0.896,0.86,0.546,0.373
JPM,0.908,1.033,0.917,0.938,0.686,0.779
KO,0.961,0.884,0.977,1.057,0.418,0.361
MCD,0.899,0.882,0.873,1.075,0.547,0.487
MMM,0.966,0.91,0.929,0.81,0.659,0.698
MRK,0.944,0.926,0.875,0.748,0.634,0.578
MSFT,0.84,0.801,0.732,0.638,0.52,0.756
NKE,0.942,0.995,0.988,0.936,0.636,0.685
NVDA,0.908,0.933,0.998,0.868,0.758,1.458
PFE,0.933,1.01,0.945,0.937,0.783,0.774
PG,0.841,0.915,0.733,0.705,0.384,0.494
RTX,1.044,1.22,1.106,0.871,0.654,1.297
SHW,0.886,0.86,0.86,0.743,0.653,0.526
TRV,0.826,0.911,0.891,0.879,0.493,0.354
UNH,1.006,1.021,0.95,0.873,0.528,0.57
UTX,0.927,1.135,1.198,1.898,0.469,
V,0.889,0.898,0.786,0.658,0.327,0.304
VZ,0.945,0.953,0.925,0.827,0.489,0.614
WBA,0.967,0.922,0.837,0.68,0.652,0.791
WMT,0.957,0.991,0.876,0.786,0.59,0.706
XOM,0.986,1.095,1.025,1.265,0.996,0.768
