SYM_ROOT,count,mean,std,min,25%,50%,75%,max
AAPL,2514.0,-0.0268,0.0539,-0.3593,-0.0564,-0.0274,0.0013,0.319
AMGN,2514.0,-0.0106,0.0883,-0.5041,-0.0627,-0.0139,0.0389,0.5003
AMZN,2514.0,0.0043,0.0569,-0.3066,-0.0317,0.0027,0.0391,0.3617
AXP,2514.0,-0.0242,0.0806,-0.5298,-0.069,-0.0212,0.0217,0.5078
BA,2802.0,-0.0171,0.1802,-0.9845,-0.0579,-0.0122,0.0345,0.993
CAT,2514.0,-0.0162,0.0738,-0.3891,-0.0579,-0.0144,0.027,0.3457
CRM,2514.0,-0.0139,0.0709,-0.3691,-0.0573,-0.0128,0.0289,0.365
CSCO,2514.0,-0.0143,0.0715,-0.6027,-0.0537,-0.0142,0.0252,0.485
CVX,2514.0,-0.0134,0.0691,-0.4183,-0.0527,-0.0116,0.0256,0.433
DD,3692.0,-0.0551,0.4563,-1.0,-0.1415,-0.016,0.0741,1.0
DIS,2514.0,-0.0134,0.0672,-0.4715,-0.0517,-0.0146,0.025,0.3749
DOW,2127.0,-0.0088,0.0743,-0.4811,-0.0529,-0.0094,0.0351,0.3954
DWDP,447.0,-0.0148,0.0971,-0.4753,-0.0583,-0.0155,0.0255,0.4377
GE,2535.0,-0.0198,0.0915,-1.0,-0.0631,-0.0195,0.0205,1.0
HD,2514.0,-0.0197,0.0786,-0.4028,-0.0669,-0.0204,0.0256,0.4592
HON,2518.0,-0.0091,0.0928,-1.0,-0.0615,-0.0096,0.0381,1.0
IBM,2518.0,-0.0091,0.0829,-1.0,-0.0532,-0.0102,0.0358,1.0
INTC,2514.0,-0.0095,0.0654,-0.4295,-0.0443,-0.0108,0.0255,0.3662
JNJ,2517.0,-0.0142,0.0816,-0.56,-0.0578,-0.0132,0.0296,0.4744
JPM,18744.0,-0.0275,0.2396,-1.0,-0.1579,-0.0211,0.1141,0.9112
KO,2514.0,-0.0152,0.0763,-0.455,-0.0585,-0.0142,0.0272,0.385
MCD,2514.0,-0.0166,0.0844,-0.3965,-0.0677,-0.0155,0.0315,0.4783
MMM,2518.0,-0.0133,0.0872,-0.5267,-0.0626,-0.0151,0.0335,1.0
MRK,2516.0,-0.0135,0.0768,-0.995,-0.0541,-0.0111,0.03,0.5
MSFT,2514.0,-0.0102,0.0633,-0.4821,-0.0427,-0.0125,0.0188,0.3668
NKE,2514.0,-0.0195,0.0713,-0.4163,-0.0611,-0.0203,0.0229,0.2891
NVDA,2514.0,-0.0062,0.0468,-0.2462,-0.0376,-0.0083,0.0223,0.2408
PFE,2516.0,-0.0161,0.0742,-0.9974,-0.055,-0.0157,0.0229,0.9151
PG,2517.0,-0.0259,0.0895,-0.5422,-0.0728,-0.0294,0.0178,0.8677
RTX,1444.0,-0.0125,0.0819,-0.3975,-0.0572,-0.0114,0.0335,0.4516
SHW,2514.0,-0.014,0.0935,-0.4123,-0.0735,-0.0144,0.0438,0.4868
TRV,2514.0,-0.0217,0.097,-0.6166,-0.0749,-0.0218,0.0329,0.5794
UNH,2514.0,-0.013,0.0839,-0.4615,-0.0597,-0.0122,0.0326,0.517
UTX,1077.0,-0.0015,0.1032,-1.0,-0.0502,-0.0012,0.0452,1.0
V,2514.0,-0.0256,0.074,-0.5449,-0.0671,-0.0236,0.0175,0.3708
VZ,2514.0,-0.0122,0.0659,-0.3795,-0.0498,-0.0132,0.0247,0.3959
WBA,2427.0,-0.0127,0.082,-0.6322,-0.0588,-0.0118,0.0318,0.4571
WMT,2514.0,-0.0202,0.0663,-0.4093,-0.0598,-0.0212,0.0174,0.3654
XOM,2514.0,-0.013,0.0707,-0.428,-0.0517,-0.0107,0.0277,0.4081
