SYM_ROOT,corr_OIB_same_day,corr_OIB_next_day
AAPL,0.175,-0.018
AMGN,0.147,0.009
AMZN,0.309,-0.021
AXP,0.014,-0.005
BA,0.093,0.023
CAT,0.097,0.049
CRM,0.098,-0.014
CSCO,0.015,-0.005
CVX,0.09,-0.001
DD,-0.009,-0.014
DIS,0.114,0.007
DOW,0.08,0.031
DWDP,0.089,-0.058
GE,0.11,-0.021
HD,0.13,-0.015
HON,0.043,-0.018
IBM,0.166,-0.007
INTC,0.138,-0.008
JNJ,0.105,0.032
JPM,0.158,0.083
KO,0.07,-0.004
MCD,0.087,-0.015
MMM,0.1,0.011
MRK,0.044,0.011
MSFT,0.079,0.016
NKE,0.019,-0.003
NVDA,0.396,-0.053
PFE,0.067,-0.003
PG,-0.005,-0.021
RTX,0.085,-0.048
SHW,0.162,-0.021
TRV,0.036,-0.001
UNH,0.145,-0.023
UTX,-0.006,-0.037
V,0.039,-0.017
VZ,0.114,-0.023
WBA,0.119,-0.026
WMT,0.077,0.001
XOM,-0.077,-0.026
