SYM_ROOT,median_spread_bps
AAPL,0.8425465000000001
MSFT,1.1128385
PG,1.4113959999999999
XOM,1.4322395
WMT,1.515682
JNJ,1.569754
DIS,1.7369854999999998
MRK,1.790559
CVX,1.8351425
V,1.8748795
KO,1.8944670000000001
NKE,1.961883
VZ,2.0498505
CSCO,2.1444535
DWDP,2.179765
UTX,2.2019539999999997
IBM,2.2352535000000002
RTX,2.409849
INTC,2.5352005
MCD,2.6152875
DOW,2.617686
NVDA,2.6421045000000003
PFE,2.810206
WBA,2.884327
MMM,3.246099
HD,3.2884025
AMZN,3.3118225
AXP,3.324845
CRM,3.3854204999999995
HON,3.4625980000000003
BA,3.8426945000000003
CAT,4.002143
UNH,4.299934
AMGN,4.7664255
GE,5.0236339999999995
TRV,5.454988
DD,6.747444000000001
SHW,8.496996
JPM,13.6849445
